Name,Age,Nationality,Overall,Potential,Position
Ederson,24,Brazil,86,90,GK
S. Mané,26,Senegal,86,87,LM
V. van Dijk,26,Netherlands,86,88,LCB
R. Sterling,23,England,86,89,RW
Roberto Firmino,26,Brazil,86,87,CAM
R. Varane,25,France,86,91,RCB
M. Verratti,25,Italy,86,89,LCM
Alex Sandro,27,Brazil,86,86,LB
Douglas Costa,27,Brazil,86,86,LM
T. Müller,28,Germany,86,86,CAM
Thiago,27,Spain,86,86,CM
M. Reus,29,Germany,86,86,LM
Azpilicueta,28,Spain,86,86,RB
L. Bonucci,31,Italy,86,86,RCB
T. Alderweireld,29,Belgium,86,87,RCB
M. Pjani?,28,Bosnia Herzegovina,86,86,CDM
M. Benatia,31,Morocco,86,86,CB
M. Özil,29,Germany,86,86,CAM
Fernandinho,33,Brazil,86,86,CDM
Iniesta,34,Spain,86,86,LF
M. kriniar,23,Slovakia,85,92,LCB
S. Milinkovi?-Savi?,23,Serbia,85,90,CM
Marco Asensio,22,Spain,85,92,RW
N. Fekir,24,France,85,89,CAM
Alisson,25,Brazil,85,90,GK
J. Kimmich,23,Germany,85,88,RCM
Saúl,23,Spain,85,90,RCM
R. Mahrez,27,Algeria,85,85,RW
D. Alaba,26,Austria,85,87,LB
Koke,26,Spain,85,86,LM
A. Lacazette,27,France,85,86,ST
K. Manolas,27,Greece,85,87,LCB
N. Otamendi,30,Argentina,85,85,CB
Parejo,29,Spain,85,85,RCM
Paulinho,29,Brazil,85,85,LDM
W. Szcz?sny,28,Poland,85,87,GK
A. Sánchez,29,Chile,85,85,RW
Y. Brahimi,28,Algeria,85,85,LM
J. Boateng,29,Germany,85,85,RCB
A. Vidal,31,Chile,85,85,CAM
I. Perii?,29,Croatia,85,85,LM
E. Deko,32,Bosnia Herzegovina,85,85,ST
S. Khedira,31,Germany,85,85,RCM
Diego Costa,29,Spain,85,85,LS
R. Nainggolan,30,Belgium,85,85,CAM
Naldo,35,Brazil,85,85,CB
B. Matuidi,31,France,85,85,LM
Miranda,33,Brazil,85,85,CB
K. Benzema,30,France,85,85,ST
Filipe Luís,32,Brazil,85,85,LB
V. Kompany,32,Belgium,85,85,CB
Pepe,35,Portugal,85,85,RCB
Z. Ibrahimovi?,36,Sweden,85,85,RS
D. Sánchez,22,Colombia,84,88,RCB
J. Giménez,23,Uruguay,84,88,RCB
Alex Telles,25,Brazil,84,87,LB
A. Laporte,24,France,84,88,LCB
Bruno Fernandes,23,Portugal,84,88,LCM
N. Süle,22,Germany,84,90,CB
A. Martial,22,France,84,90,LW
D. Alli,22,England,84,90,LCM
Fabinho,24,Brazil,84,88,CDM
Marquinhos,24,Brazil,84,89,LDM
William Carvalho,26,Portugal,84,86,CDM
Jorginho,26,Italy,84,87,CM
F. Thauvin,25,France,84,87,RM
Carvajal,26,Spain,84,87,RB
M. Depay,24,Netherlands,84,89,ST
H. Son,25,Korea Republic,84,85,LM
A. Lopes,27,Portugal,84,86,GK
S. de Vrij,26,Netherlands,84,86,CB
M. Perin,25,Italy,84,89,GK
J. Cuadrado,30,Colombia,84,84,RAM
Iago Aspas,30,Spain,84,84,ST
B. Leno,26,Germany,84,87,GK
N. Mati?,29,Serbia,84,84,CDM
L. Hrádecký,28,Finland,84,84,GK
Illarramendi,28,Spain,84,84,RDM
K. Walker,28,England,84,84,RB
I. Gündo?an,27,Germany,84,84,CM
José Callejón,31,Spain,84,84,RM
A. Di María,30,Argentina,84,84,RM
M. Manduki?,32,Croatia,84,84,ST
Willian,29,Brazil,84,84,RW
Sergio Asenjo,29,Spain,84,85,GK
E. Banega,30,Argentina,84,84,CDM
A. Witsel,29,Belgium,84,84,LCM
D. Payet,31,France,84,84,CAM
Jonas,34,Brazil,84,84,ST
Sokratis,30,Greece,84,84,RCB
S. Ruffier,31,France,84,84,GK
Falcao,32,Colombia,84,84,RS
K. Schmeichel,31,Denmark,84,84,GK
Raúl Albiol,32,Spain,84,84,RCB
A. Gómez,30,Argentina,84,84,LS
A. Barzagli,37,Italy,84,84,CB
Quaresma,34,Portugal,84,84,RM
A. Robben,34,Netherlands,84,84,RM
O. Dembélé,21,France,83,92,RW
Gabriel Jesus,21,Brazil,83,92,ST
Ronaldo Cabrais,26,Brazil,83,83,RW
Josué Chiamulera,26,Brazil,83,83,LCB
Louri Beretta,26,Brazil,83,83,ST
P. Kimpembe,22,France,83,89,LCB
N. Keïta,23,Guinea,83,88,CM
C. Tolisso,23,France,83,88,CM
T. Lemar,22,France,83,89,LM
K. Coman,22,France,83,87,LM
J. Tah,22,Germany,83,88,CB
Anderson Talisca,24,Brazil,83,90,CAM
T. Werner,22,Germany,83,87,RW
A. Rabiot,23,France,83,87,CM
L. Goretzka,23,Germany,83,88,CM
Q. Promes,26,Netherlands,83,84,RM
H. Ziyech,25,Morocco,83,86,RAM
Lucas Vázquez,27,Spain,83,83,RW
Y. Carrasco,24,Belgium,83,86,LM
Gerard Moreno,26,Spain,83,85,LS
Felipe,29,Brazil,83,83,RCB
M. Kova?i?,24,Croatia,83,89,LCM
Kepa,23,Spain,83,91,GK
Manu Trigueros,26,Spain,83,84,RCM
S. Gnabry,22,Germany,83,88,ST
J. Pickford,24,England,83,88,GK
S. Savi?,27,Montenegro,83,86,CB
J. Stones,24,England,83,87,RCB
Suso,24,Spain,83,86,RW
J. Draxler,24,Germany,83,86,CM
Felipe Anderson,25,Brazil,83,85,LM
Lucas Moura,25,Brazil,83,84,RM
Danilo Pereira,26,Portugal,83,86,CDM
Nacho Fernández,28,Spain,83,85,CB
T. Horn,25,Germany,83,87,GK
Allan,27,Brazil,83,83,RCM
F. Acerbi,30,Italy,83,83,CB
Sergi Roberto,26,Spain,83,86,RB
Rodrigo,27,Spain,83,84,ST
Pizzi,28,Portugal,83,83,LCM
K. Kampl,27,Slovenia,83,83,LCM
Neto,28,Brazil,83,84,GK
O. Baumann,28,Germany,83,84,GK
I. Gueye,28,Senegal,83,83,RDM
H. Mkhitaryan,29,Armenia,83,83,RM
Marcos Alonso,27,Spain,83,84,LB
D. Subai?,33,Croatia,83,83,GK
K. Glik,30,Poland,83,83,RCB
K. Strootman,28,Netherlands,83,83,CDM
B. Dost,29,Netherlands,83,83,ST
Oscar,26,Brazil,83,84,LCM
M. Balotelli,27,Italy,83,83,LS
Luiz Gustavo,30,Brazil,83,83,LCB
Giuliano,28,Brazil,83,83,CAM
David Luiz,31,Brazil,83,83,LCB
R. Fährmann,29,Germany,83,84,GK
Juan Mata,30,Spain,83,83,RM
Adán,31,Spain,83,83,GK
Rui Patrício,30,Portugal,83,83,GK
Y. Sommer,29,Switzerland,83,84,GK
Javi Martínez,29,Spain,83,83,CDM
L. Bender,29,Germany,83,83,RB
Lucas Leiva,31,Brazil,83,83,LDM
S. Mandanda,33,France,83,83,GK
Cesc Fàbregas,31,Spain,83,83,CM
M. Dembélé,30,Belgium,83,83,CM
F. Ribéry,35,France,83,83,LM
R. Jarstein,33,Norway,83,83,GK
D. De Rossi,34,Italy,83,83,RDM
Pepe Reina,35,Spain,83,83,GK
J. Pavlenka,26,Czech Republic,82,85,GK
M. de Ligt,18,Netherlands,82,91,RCB
Rodri,22,Spain,82,87,CM
Arthur,21,Brazil,82,90,LCM
G. Donnarumma,19,Italy,82,93,GK
Rosberto Dourado,30,Brazil,82,82,RCM
Juiano Mestres,34,Brazil,82,82,RCB
Raphaelito Anjos,30,Brazil,82,82,GK
Gelson Martins,23,Portugal,82,87,RM
Gonçalo Guedes,21,Portugal,82,86,LM
L. Torreira,22,Uruguay,82,87,LCM
Malcom,21,Brazil,82,89,RW
Pau López,23,Spain,82,87,GK
L. Hernández,22,France,82,88,LB
C. Lenglet,23,France,82,88,LCB
A. Kramari?,27,Croatia,82,83,LCM
A. Robertson,24,Scotland,82,87,LB
Dani García,28,Spain,82,83,RCM
F. Bernardeschi,24,Italy,82,87,RM
J. Brandt,22,Germany,82,88,LM
D. Rugani,23,Italy,82,86,CB
Samu Castillejo,23,Spain,82,86,RM
João Cancelo,24,Portugal,82,88,RB
A. Romagnoli,23,Italy,82,89,LCB
T. Partey,25,Ghana,82,88,CDM
Fred,25,Brazil,82,84,CM
J. Vardy,31,England,82,82,ST
A. Belotti,24,Italy,82,87,LS
E. Forsberg,26,Sweden,82,83,LM
J. Lingard,25,England,82,83,CAM
F. Vázquez,29,Argentina,82,82,LCM
E. Vi?a,28,Bosnia Herzegovina,82,82,RM
A. Rüdiger,25,Germany,82,84,CB
A. Florenzi,27,Italy,82,83,RB
H. Maguire,25,England,82,85,LCB
T. Meunier,26,Belgium,82,83,RM
S. Sané,27,Senegal,82,82,CB
G. Kondogbia,25,Central African Rep.,82,85,CM
Rafinha,25,Brazil,82,87,CAM
Gabriel Paulista,27,Brazil,82,83,LCB
Morata,25,Spain,82,85,ST
J. Cillessen,29,Netherlands,82,84,GK
W. Ben Yedder,27,France,82,82,RS
C. Bakambu,27,DR Congo,82,83,ST
Pablo Sarabia,26,Spain,82,83,RCM
W. Zaha,25,Ivory Coast,82,85,LS
Luis Alberto,25,Spain,82,85,CF
Jonathan Viera,28,Spain,82,82,LF
Bartra,27,Spain,82,83,CB
S. Coates,27,Uruguay,82,83,RCB
Willian José,26,Brazil,82,83,ST
Mário Fernandes,27,Russia,82,82,RB
Víctor Ruiz,29,Spain,82,83,LCB
T. Delaney,26,Denmark,82,83,LCM
K. Casteels,26,Belgium,82,85,GK
M. Götze,26,Germany,82,85,CM
S. Mustafi,26,Germany,82,84,RCB
J. Pastore,29,Argentina,82,82,CAM
Pedro,30,Spain,82,82,RW
G. Bonaventura,28,Italy,82,82,CM
R. Bürki,27,Switzerland,82,85,GK
Taison,30,Brazil,82,82,LM
S. Nzonzi,29,France,82,82,CDM
Marlos,30,Ukraine,82,82,RM
A. Ramsey,27,Wales,82,83,CAM
K. Trippier,27,England,82,82,RB
A. Kolarov,32,Serbia,82,82,LB
G. Sigurðsson,28,Iceland,82,82,CAM
S. Giovinco,31,Italy,82,82,CF
M. Arnautovi?,29,Austria,82,82,LS
N. Gaitán,30,Argentina,82,82,CAM
J. Henderson,28,England,82,82,RCM
M. Kruse,30,Germany,82,82,ST
M. Parolo,33,Italy,82,82,RDM
L. Fejsa,29,Serbia,82,82,CDM
A. Rami,32,France,82,82,RCB
V. ?orluka,32,Croatia,82,82,LCB
G. Wijnaldum,27,Netherlands,82,82,CAM
F. Fazio,31,Argentina,82,82,LCB
O. Giroud,31,France,82,82,ST
Marcano,31,Spain,82,82,CB
A. Guardado,31,Mexico,82,82,CM
E. Garay,31,Argentina,82,82,RCB
Jardel,32,Brazil,82,82,LCB
S. Sirigu,31,Italy,82,82,GK
E. Viviano,32,Italy,82,82,GK
L. Koscielny,32,France,82,82,CB
A. Consigli,31,Italy,82,82,GK
L. Biglia,32,Argentina,82,82,CDM
Dani Alves,35,Brazil,82,82,RB
David Villa,36,Spain,82,82,ST
Aduriz,37,Spain,82,82,ST
P. ?ech,36,Czech Republic,82,82,GK
Casillas,37,Spain,82,82,GK
M. Rashford,20,England,81,89,LW
Laure Santeiro,30,Brazil,81,81,CAM
L. Bailey,20,Jamaica,81,89,LM
M. Akanji,22,Switzerland,81,87,LCB
F. de Jong,21,Netherlands,81,89,LDM
Nélson Semedo,24,Portugal,81,86,RB
Pablo Fornals,22,Spain,81,86,CAM
Fabián,22,Spain,81,89,LM
E. Bailly,24,Ivory Coast,81,87,CB
Dani Ceballos,21,Spain,81,88,LCM
H. Lozano,22,Mexico,81,86,LS
Morales,30,Spain,81,81,LS
J. Seri,26,Ivory Coast,81,82,LDM
M. Politano,24,Italy,81,84,RM
M. Brozovi?,25,Croatia,81,84,LDM
Williams,24,Spain,81,87,LW
A. Correa,23,Argentina,81,87,RM
A. Christensen,22,Denmark,81,88,LCB
João Mário,25,Portugal,81,84,CAM
T. Strakosha,23,Albania,81,86,GK
E. Hysaj,24,Albania,81,86,RB
P. Zieli?ski,24,Poland,81,88,RCM
Ricardo Pereira,24,Portugal,81,85,RB
Grimaldo,22,Spain,81,87,LB
R. Guerreiro,24,Portugal,81,86,LM
A. Doucouré,25,France,81,85,RDM
J. Martínez,25,Venezuela,81,84,LS
C. Bacca,31,Colombia,81,81,LS
A. Plea,25,France,81,83,LW
B. Davies,25,Wales,81,84,LB
M. Nastasi?,25,Serbia,81,84,LCB
A. Milik,24,Poland,81,88,CF
M. Sabitzer,24,Austria,81,84,LM
B. Mendy,23,France,81,86,LB
C. Kramer,27,Germany,81,82,CDM
S. Vrsaljko,26,Croatia,81,84,RB
T. Hazard,25,Belgium,81,83,RW
K. Bellarabi,28,Germany,81,81,RM
S. Zaza,27,Italy,81,82,RS
F. Ghoulam,27,Algeria,81,82,LB
B. Lecomte,27,France,81,84,GK
J. Ili?i?,30,Slovenia,81,81,CAM
K. Volland,25,Germany,81,83,ST
Paco Alcácer,24,Spain,81,85,ST
Vitolo,28,Spain,81,81,LM
G. Xhaka,25,Switzerland,81,84,LDM
D. Tadi?,29,Serbia,81,81,LAM
C. Aránguiz,29,Chile,81,81,LDM
S. Verdi,25,Italy,81,81,RW
D. Lovren,28,Croatia,81,82,RCB
G. Medel,30,Chile,81,81,RCB
X. Shaqiri,26,Switzerland,81,81,CAM
J. Corona,25,Mexico,81,83,RM
A. Areola,25,France,81,85,GK
K. Vogt,26,Germany,81,82,CB
Ander Herrera,28,Spain,81,81,CM
E. Salvio,27,Argentina,81,81,RW
S. El Shaarawy,25,Italy,81,82,LM
C. Smalling,28,England,81,82,RCB
Hulk,31,Brazil,81,81,RCM
S. Kagawa,29,Japan,81,81,CAM
M. Lanzini,25,Argentina,81,85,CAM
F. Smolov,28,Russia,81,81,ST
L. Stindl,29,Germany,81,81,CF
O. Toprak,28,Turkey,81,82,CB
D. Perotti,29,Argentina,81,81,LW
F. Muslera,32,Uruguay,81,81,GK
B. Höwedes,30,Germany,81,81,RCB
S. Kjær,29,Denmark,81,81,RCB
S. Bender,29,Germany,81,81,LCB
M. Valbuena,33,France,81,81,LM
Pedro León,31,Spain,81,81,RM
K. Boateng,31,Ghana,81,81,CM
L. Piszczek,33,Poland,81,81,RB
A. Candreva,31,Italy,81,81,RM
D. Wass,29,Denmark,81,81,RB
E. Lamela,26,Argentina,81,82,RM
D. Rose,27,England,81,81,LB
C. Vela,29,Mexico,81,81,RW
Renato Augusto,30,Brazil,81,81,LCM
A. Valencia,32,Ecuador,81,81,RM
L. Fabia?ski,33,Poland,81,81,GK
João Moutinho,31,Portugal,81,81,RCM
Borja Valero,33,Spain,81,81,CAM
F. Quagliarella,35,Italy,81,81,RS
B. Gomis,32,France,81,81,ST
Manuel Fernandes,32,Portugal,81,81,LM
H. Herrera,28,Mexico,81,81,CM
Raffael,33,Brazil,81,81,CF
Nani,31,Portugal,81,81,LM
J. Milner,32,England,81,81,CM
J. Mathieu,34,France,81,81,LCB
Joaquín,36,Spain,81,81,LS
M. Gómez,21,Uruguay,80,85,ST
K. Havertz,19,Germany,80,89,CAM
T. Ndombele,21,France,80,89,CM
H. Aouar,20,France,80,90,LM
Carlos Soler,21,Spain,80,87,RM
Odriozola,22,Spain,80,88,RB
M. Almirón,24,Paraguay,80,84,CAM
Welington Dano,30,Brazil,80,80,LB
Everton Andrão,34,Brazil,80,80,CDM
Oyarzabal,21,Spain,80,87,CAM
F. Balbuena,26,Paraguay,80,83,RCB
M. Marega,27,Mali,80,80,RS
B. Pavard,22,France,80,86,RB
W. Ndidi,21,Nigeria,80,85,LDM
A. Onana,22,Cameroon,80,85,GK
G. Lo Celso,22,Argentina,80,86,RCM
M. Acuña,26,Argentina,80,80,LB
Rúben Neves,21,Portugal,80,87,LCM
Mariano,24,Dominican Republic,80,85,ST
Raúl,28,Brazil,80,80,CB
M. Caldara,24,Italy,80,86,CB
M. Vecino,26,Uruguay,80,81,LM
T. Bakayoko,23,France,80,85,LCM
M. Dahoud,22,Germany,80,86,CM
Rafa,25,Portugal,80,83,RW
K. Baldé,23,Senegal,80,85,RM
G. Rulli,26,Argentina,80,85,GK
F. Armani,31,Argentina,80,80,GK
Rony Lopes,22,Portugal,80,85,RM
Santi Mina,22,Spain,80,85,LS
K. Demirbay,24,Germany,80,84,RCM
Gayà,23,Spain,80,85,LB
André Gomes,24,Portugal,80,85,LDM
N. Tagliafico,25,Argentina,80,82,LB
M. Sanson,23,France,80,85,RDM
Pacheco,26,Spain,80,83,GK
E. Can,24,Germany,80,85,CM
H. Çalhano?lu,24,Turkey,80,84,CAM
M. Ginter,24,Germany,80,82,RWB
M. Keane,25,England,80,83,RCB
L. Paredes,24,Argentina,80,85,CM
T. Stepanenko,28,Ukraine,80,80,RDM
L. Shaw,22,England,80,85,LB
Z. Feddal,28,Morocco,80,80,CB
S. Haller,24,France,80,83,RS
Bernard,25,Brazil,80,81,LM
T. Inui,30,Japan,80,80,LM
Portu,26,Spain,80,81,RM
M. Batshuayi,24,Belgium,80,84,ST
E. Zahavi,30,Israel,80,80,LS
T. Vaclík,29,Czech Republic,80,81,GK
N. Pope,26,England,80,83,GK
Héctor Bellerín,23,Spain,80,85,RB
P. Kade?ábek,26,Czech Republic,80,81,RWB
J. Butland,25,England,80,85,GK
J. Vestergaard,25,Denmark,80,81,CB
J. Tarkowski,25,England,80,83,RCB
Deulofeu,24,Spain,80,82,RS
E. Dier,24,England,80,84,CDM
J. Murillo,26,Colombia,80,84,LCB
M. Badelj,29,Croatia,80,80,CDM
Ismaily,28,Brazil,80,80,LB
N. Schulz,25,Germany,80,81,LWB
L. Digne,24,France,80,84,LB
M. Uth,26,Germany,80,81,ST
Cristian Tello,26,Spain,80,80,LM
D. Vida,29,Croatia,80,80,LCB
L. Muriel,27,Colombia,80,81,ST
V. Aboubakar,26,Cameroon,80,82,ST
A. Oxlade-Chamberlain,24,England,80,85,CM
S. Aurier,25,Ivory Coast,80,83,RB
J. Matip,26,Cameroon,80,82,CB
Y. Rakitskyi,28,Ukraine,80,80,LCB
Sergi Enrich,28,Spain,80,80,RS
A. Yarmolenko,28,Ukraine,80,80,RM
Hugo Mallo,27,Spain,80,81,RB
André Almeida,27,Portugal,80,80,RB
D. Didavi,28,Germany,80,80,CAM
R. Rodríguez,25,Switzerland,80,83,LB
R. Pereyra,27,Argentina,80,80,LM
Mario Gaspar,27,Spain,80,80,RB
Maicon,29,Brazil,80,80,CB
D. Blind,28,Netherlands,80,80,LB
J. Zoet,27,Netherlands,80,83,GK
A. Ljaji?,26,Serbia,80,81,CAM
Canales,27,Spain,80,80,RCM
Iago Falqué,28,Spain,80,80,RW
L. de Jong,27,Netherlands,80,80,ST
Guaita,31,Spain,80,80,GK
Muniain,25,Spain,80,83,CAM
Susaeta,30,Spain,80,80,RW
S. Rudy,28,Germany,80,80,CDM
K. Trapp,27,Germany,80,81,GK
V. Wanyama,27,Kenya,80,82,CDM
N. Nkoulou,28,Cameroon,80,80,CB
R. Boudebouz,28,Algeria,80,80,CAM
Camacho,28,Spain,80,81,CDM
S. Ulreich,29,Germany,80,80,GK
M. Musacchio,27,Argentina,80,80,RCB
C. Stuani,31,Uruguay,80,80,ST
P. Gulácsi,28,Hungary,80,80,GK
Bruno,34,Spain,80,80,CM
F. Delph,28,England,80,80,LB
A. Lallana,30,England,80,80,CM
Marcelo,31,Brazil,80,80,RCB
S. Coleman,29,Republic of Ireland,80,80,RWB
Alexandre Pato,28,Brazil,80,80,ST
Antunes,31,Portugal,80,80,LB
Nacho Monreal,32,Spain,80,80,LB
Beñat,31,Spain,80,80,LCM
A. Fernández,32,Argentina,80,80,LDM
K. Gameiro,31,France,80,80,ST
I. Piatti,33,Argentina,80,80,LW
V. Birsa,31,Slovenia,80,80,CAM
S. Romero,31,Argentina,80,80,GK
D. Criscito,31,Italy,80,80,LCB
D. Valeri,32,Argentina,80,80,RF
D. Sturridge,28,England,80,80,ST
Raúl García,31,Spain,80,80,CAM
S. Defour,30,Belgium,80,80,LCM
M. krtel,33,Slovakia,80,80,LCB
S. Radu,31,Romania,80,80,LCB
G. Cahill,32,England,80,80,CB
L. Diarra,33,France,80,80,CDM
L. Perrin,32,France,80,80,RCB
Dante,34,Brazil,80,80,CB
A. Granqvist,33,Sweden,80,80,LCB
A. Gignac,32,France,80,80,ST
M. Gómez,32,Germany,80,80,LS
I. Akinfeev,32,Russia,80,80,GK
I. Denisov,34,Russia,80,80,RDM
Juanfran,33,Spain,80,80,RB
Diego López,36,Spain,80,80,GK
Santi Cazorla,33,Spain,80,80,LCM
Jesús Navas,32,Spain,80,80,RM
J. Mascherano,34,Argentina,80,80,LDM
A. Mirante,34,Italy,80,80,GK
D. Srna,36,Croatia,80,80,RB
B. Schweinsteiger,33,Germany,80,80,LCB
Moyá,34,Spain,80,80,GK
W. Rooney,32,England,80,80,ST
Fernando Torres,34,Spain,80,80,LS
S. Sorrentino,39,Italy,80,80,GK
V. Tsygankov,20,Ukraine,79,86,RM
Rúben Dias,21,Portugal,79,85,RCB
David Neres,21,Brazil,79,86,RW
Raphinha,21,Brazil,79,86,RM
A. Harit,21,Morocco,79,86,LCM
Richarlison,21,Brazil,79,86,ST
L. Martínez,20,Argentina,79,86,ST
F. Kessié,21,Ivory Coast,79,88,CM
Luimo Boas Santos,30,Brazil,79,79,ST
Gabri Prestão,26,Brazil,79,79,GK
Melvin Parrela,30,Brazil,79,79,LCM
Antônio Chiamuloira,30,Brazil,79,79,CB
Maikel Catarino,34,Brazil,79,79,RB
A. Lunev,26,Russia,79,81,GK
André Silva,22,Portugal,79,87,ST
C. Pulisic,19,United States,79,87,RM
M. Dmitrovi?,26,Serbia,79,80,GK
L. Tousart,21,France,79,84,RDM
Marcos Llorente,23,Spain,79,87,CDM
B. Verbi?,24,Slovenia,79,81,LM
S. Bergwijn,20,Netherlands,79,86,LW
A. Diallo,22,France,79,86,LCB
A. Golovin,22,Russia,79,85,CAM
M. Campaña,29,Uruguay,79,80,GK
C. Pavón,22,Argentina,79,85,RW
K. Toko-Ekambi,25,Cameroon,79,80,LS
Granell,29,Spain,79,79,LWB
F. Cervi,24,Argentina,79,84,LW
J. Weigl,22,Germany,79,84,CDM
V. Lindelöf,23,Sweden,79,85,CB
A. Rebi?,24,Croatia,79,82,CAM
A. Sanabria,22,Paraguay,79,85,ST
R. Battaglia,26,Argentina,79,80,CM
M. Philipp,24,Germany,79,84,ST
A. Saint-Maximin,21,France,79,86,RS
D. Zappacosta,26,Italy,79,81,RB
L. Alario,25,Argentina,79,82,ST
D. Benedetto,28,Argentina,79,79,ST
I. Marcone,28,Argentina,79,80,RDM
J. Gbamin,22,Ivory Coast,79,84,RCM
J. Lerma,23,Colombia,79,84,RCM
Ricardo Horta,23,Portugal,79,84,LM
R. Zobnin,24,Russia,79,86,LDM
M. Meyer,22,Germany,79,83,LM
Bruma,23,Portugal,79,83,LW
R. Centurión,25,Argentina,79,81,RM
Jonny,24,Spain,79,83,LWB
Otávio,23,Brazil,79,85,RM
J. Hofmann,25,Germany,79,80,CAM
N. Aké,23,Netherlands,79,84,CB
J. Hector,28,Germany,79,79,LWB
S. Kolainac,25,Bosnia Herzegovina,79,82,LB
G. Pizarro,28,Argentina,79,79,LDM
Roger,27,Spain,79,80,RS
Sergio Rico,24,Spain,79,83,GK
L. Milivojevi?,27,Serbia,79,81,RCM
D. Baselli,26,Italy,79,82,CDM
K. Rekik,23,Netherlands,79,83,CB
Denis Suárez,24,Spain,79,86,CM
W. Orban,25,Hungary,79,81,RCB
Mário Rui,27,Portugal,79,80,LB
Iñigo Martínez,27,Spain,79,80,LCB
K. Zouma,23,France,79,83,CB
Roque Mesa,29,Spain,79,79,CDM
J. Brooks,25,United States,79,84,LCB
L. Karius,25,Germany,79,83,GK
Zé Luís,27,Cape Verde,79,80,ST
D. Klaassen,25,Netherlands,79,81,LCM
M. Elyounoussi,23,Norway,79,85,LM
L. Bittencourt,24,Germany,79,82,LM
Sergi Darder,24,Spain,79,83,RCM
J. Roussillon,25,France,79,84,LB
D. Demme,26,Germany,79,80,CDM
J. Gouweleeuw,26,Netherlands,79,80,RCB
M. Rojo,28,Argentina,79,79,CB
J. Veretout,25,France,79,84,CDM
L. Kurzawa,25,France,79,82,LB
G. Ramírez,27,Uruguay,79,79,CAM
David López,28,Spain,79,79,RCB
C. T?t?ru?anu,32,Romania,79,79,GK
A. Mandi,26,Algeria,79,82,RCB
D. Sidibé,25,France,79,80,RB
Y. Konoplyanka,28,Ukraine,79,79,LW
S. Berghuis,26,Netherlands,79,80,RW
H. Vanaken,25,Belgium,79,81,CAM
Campaña,25,Spain,79,82,CDM
M. van Ginkel,25,Netherlands,79,80,CM
Nolito,31,Spain,79,79,LM
M. Gregoritsch,24,Austria,79,82,CAM
Ibai Gómez,28,Spain,79,79,RM
Danilo,26,Brazil,79,80,RB
R. Barkley,24,England,79,82,CAM
M. Ryan,26,Australia,79,81,GK
Sergio León,29,Spain,79,79,ST
B. Stambouli,27,France,79,79,RCB
J. Guilavogui,27,France,79,80,CDM
Sérgio Oliveira,26,Portugal,79,82,CM
D. Caligiuri,30,Italy,79,79,RWB
C. Wilson,26,England,79,81,ST
P. Jones,26,England,79,80,CB
Borja García,27,Spain,79,79,LM
Y. Belhanda,28,Morocco,79,79,CAM
G. Pezzella,27,Argentina,79,81,RCB
Jaume Costa,30,Spain,79,79,LB
C. Tosun,27,Turkey,79,80,ST
Escudero,28,Spain,79,79,LM
Kike García,28,Spain,79,79,ST
